PAGE,ALG_GUB,FREQ_YN,FREQ_PARA,TRAIN_EPOCH,TRAINING_DAY_CNT,MAPE,SMAPE,MDAPE,ADJ_MAPE,REV_MAPE,MASE,CORRELATION,MAPE_ARIMA,SMAPE_ARIMA,MDAPE_ARIMA,ADJ_MAPE_ARIMA,REV_MAPE_ARIMA,MASE_ARIMA,CORRELATION_ARIMA,TRAINING_START,TRAINING_END,PELT,RUN_TIME,LOSS_PLOT_FILE
Spécial:Recherche_de_lien_fr.wikipedia.org_desktop_all-agents,Informer,0,,40,541,911.2730295440201,41.624568772652395,107.8003143374664,911.2730295440201,58.43120433459481,1.6596182549083096,-0.1723236724981675,985.5914501763089,37.48999173376275,94.9136959195707,985.5914501763089,50.00219391320204,1.3123625718614282,0.17275720097812228,2016-07-09,2017-07-08,False,2090,TrainLossPlot/Informer/Informer_Loss_Spécial_Recherche_de_lien_fr.wikipedia.org_desktop_all-agents(20160709_20170708).png
Especial:BúsquedaDeEnlaces_es.wikipedia.org_all-access_all-agents,Informer,0,,73,541,675.0178631111484,44.85735403273272,94.28755937492575,675.0178631111484,inf,1.5853961862697046,-0.11269191177675071,1056.7436855910382,37.563137345331874,95.53621059112561,1056.7436855910382,50.06504084489449,1.3185676545341685,0.17272311164614543,2016-07-09,2017-07-08,False,3501,TrainLossPlot/Informer/Informer_Loss_Especial_BúsquedaDeEnlaces_es.wikipedia.org_all-access_all-agents(20160709_20170708).png
Especial:BúsquedaDeEnlaces_es.wikipedia.org_desktop_all-agents,Informer,0,,40,541,956.1155616003294,41.149415323142755,99.53009455064921,956.1155616003294,58.800888115499994,1.6389050247185828,-0.22482598361339498,1056.7350817694592,37.56395977910758,95.53238476121683,1056.7350817694592,50.06605419830701,1.3186284242665656,0.17271976336848144,2016-07-09,2017-07-08,False,2143,TrainLossPlot/Informer/Informer_Loss_Especial_BúsquedaDeEnlaces_es.wikipedia.org_desktop_all-agents(20160709_20170708).png
Spezial:Benutzerkonto_anlegen_de.wikipedia.org_all-access_all-agents,Informer,0,,42,541,184.14190327229494,54.83248912759585,98.08981370858221,184.14190327229494,inf,1.2548887507837383,-0.3198319116966992,142.01026795454257,41.09000597708887,71.75468503341978,142.01026795454257,115.51245786827539,1.0024580884664014,0.04655754260488171,2016-07-09,2017-07-08,False,2215,TrainLossPlot/Informer/Informer_Loss_Spezial_Benutzerkonto_anlegen_de.wikipedia.org_all-access_all-agents(20160709_20170708).png
Служебная:Поиск_ссылок_ru.wikipedia.org_all-access_all-agents,Informer,0,,51,541,2536.014904061318,42.372905497560275,102.40676444456615,2536.014904061318,62.194500218220725,1.6401320994269222,-0.26286507759147054,3843.8849502441954,37.82427701041843,97.64714533767969,3843.8849502441954,50.28630011978088,1.3089081096570128,0.17133592156470956,2016-07-09,2017-07-08,False,2560,TrainLossPlot/Informer/Informer_Loss_Служебная_Поиск_ссылок_ru.wikipedia.org_all-access_all-agents(20160709_20170708).png
Служебная:Поиск_ссылок_ru.wikipedia.org_desktop_all-agents,Informer,0,,40,541,2786.3336449694307,40.86257973888046,94.5923149146811,2786.3336449694307,58.618622847265776,1.5358764798007052,-0.1767240083906753,3843.732106963261,37.82380700563024,97.63744383591244,3843.732106963261,50.285688334892086,1.3088184014026618,0.17133171962088464,2016-07-09,2017-07-08,False,2101,TrainLossPlot/Informer/Informer_Loss_Служебная_Поиск_ссылок_ru.wikipedia.org_desktop_all-agents(20160709_20170708).png
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,SCINet,0,,68,541,114.78043672443867,42.50496171955373,78.60919687916473,114.78043672443867,inf,0.984850815532163,-0.03361862538924127,107.16265697795808,30.575488454754364,49.49014792650872,107.16265697795808,61.49445487786941,0.7708248036121778,0.031241580642428338,2016-07-09,2017-07-08,False,234,TrainLossPlot/SCINet/SCINet_Loss_Special_CreateAccount_commons.wikimedia.org_all-access_all-agents(20160709_20170708).png
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,SCINet,0,,100,541,117.77714861111026,43.184841721387244,71.1839892700647,117.77714861111026,inf,1.05575068828826,-0.07499829571260304,105.81205260801592,30.403021673700724,48.43726616564209,105.81205260801592,60.64002288666015,0.7714723644454109,0.028375411710687304,2016-07-09,2017-07-08,False,273,TrainLossPlot/SCINet/SCINet_Loss_Special_CreateAccount_commons.wikimedia.org_desktop_all-agents(20160709_20170708).png
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",100,166,inf,40.469090899515805,86.44991163882852,96.56091948599399,inf,1.6333494707053136,0.05517192587990985,inf,22.084667044879065,49.25483946394652,49.4189881237985,53.70948972958842,1.0047623240154027,0.03081096687321271,2017-01-24,2017-07-08,True,72,TrainLossPlot/SCINet/SCINet_Loss_Special_CreateAccount_en.wikipedia.org_all-access_all-agents(20170124_20170708).png
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",100,166,103.53508237175362,40.80636631114285,84.56042456792522,103.53508237175362,inf,1.5618630422024102,0.04092327236486056,54.83393812821691,22.367088309179355,51.01826893249603,54.83393812821691,58.23676848277353,0.998407552539727,0.03281767258431306,2017-01-24,2017-07-08,True,71,TrainLossPlot/SCINet/SCINet_Loss_Special_CreateAccount_en.wikipedia.org_desktop_all-agents(20170124_20170708).png
